,,25,alpha-pinene,beta-pinene,humulene,β-caryophyllene,caryophyllene oxide,β-myrcene,nerolidol,linalool,terpinolene,"""phytol terpene""",fenchol,borneol,terpineol,α-bisabolol,ocimene,limonene,"1, 8, Cineole",bornyl acetate,p-cymene,perillyl alcohol,Sabinene,alpha-terpinene,gamma-terpinene,R-carvone,S-carvone
,,104,9,9,6,5,2,2,4,7,1,6,0,12,2,3,3,7,2,3,4,1,4,3,5,1,3
,78,,4441,2179,901,2463,923,750,974,5006,522,21313,81,1486,1656,482,1070,6597,2143,376,2449,446,906,395,1270,186,121
anti-inflammatory,3,66898,341,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,750,Loading...,Loading...,147,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,113,Loading...,Loading...,Loading...
absorption,5,Loading...,96,29,9,55,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,15,Loading...,Loading...,Loading...,Loading...,64,Loading...,Loading...,22,14,Loading...,3
alcohol craving reduction,0,Loading...,Loading...,Loading...,Loading...,0,Loading...,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,#N/A,Loading...,0,Loading...
alertness,1,Loading...,2,Loading...,Loading...,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,1,Loading...,Loading...,2,Loading...,Loading...,Loading...,Loading...
analgesic,1,#N/A,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,26,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,7,Loading...,57,50,Loading...,2
anorectic,0,Loading...,0,Loading...,Loading...,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...,0,0,Loading...,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
anti-anxiety,3,Loading...,Loading...,4,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,4,Loading...,3,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,1
anti-bacterial,2,Loading...,Loading...,Loading...,58,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,313,Loading...,38,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
anti-coagulant,1,Loading...,Loading...,2,Loading...,Loading...,Loading...,Loading...,0,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
anti-convulsant,0,Loading...,1,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,1,#N/A,Loading...
anti-depressant,3,155,Loading...,2,Loading...,Loading...,2,Loading...,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...,1,Loading...,2,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
anti-epileptic,4,13930,Loading...,5,Loading...,33,Loading...,Loading...,3,39,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,1,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
anti-fungal,1,Loading...,5,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,1,Loading...,0,Loading...,Loading...,Loading...,1,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
anti-microbial,3,Loading...,Loading...,6,Loading...,Loading...,Loading...,Loading...,1,12,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,3,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
anti-mutagenic,1,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,1,Loading...,Loading...,Loading...,2,Loading...,Loading...,0,0,Loading...,1,Loading...,Loading...,0,0,Loading...,0,0,Loading...,0
anti-nociceptive,0,Loading...,Loading...,1,Loading...,Loading...,1,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,0,Loading...,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,0
anti-oxidant,4,Loading...,Loading...,214,Loading...,Loading...,Loading...,Loading...,Loading...,440,Loading...,1963,Loading...,188,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,4
anti-parastitic,2,Loading...,Loading...,Loading...,901,Loading...,Loading...,Loading...,Loading...,5006,Loading...,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,376,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
anti-proliferative,4,Loading...,Loading...,Loading...,Loading...,Loading...,6,2,Loading...,Loading...,Loading...,Loading...,Loading...,3,Loading...,Loading...,Loading...,15,Loading...,Loading...,Loading...,Loading...,2,Loading...,Loading...,Loading...,Loading...
anti-psychotic,0,91,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,0,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...,Loading...,0,Loading...,Loading...
anti-septic,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,0,Loading...,Loading...
anti-spasmodic,0,Loading...,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,0,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...
anti-toxin,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,0,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,0,0,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
anti-tumor,5,Loading...,Loading...,9,7,15,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,7,Loading...,4,Loading...,Loading...,Loading...,Loading...,11,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
anti-viral,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,#N/A,Loading...,0,Loading...,0,0,0,Loading...,0,Loading...,Loading...,Loading...,Loading...,Loading...,0,Loading...,Loading...,0,Loading...
brain ischemia,4,Loading...,Loading...,Loading...,Loading...,23,Loading...,Loading...,3,6,Loading...,Loading...,Loading...,63,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
bronchodialator,0,2,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,0,0,Loading...
cardiovascular health,1,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,0,8,Loading...,1,1,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
decongestant,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,0
