,,25,alpha-pinene,beta-pinene,humulene,β-caryophyllene,caryophyllene oxide,β-myrcene,nerolidol,linalool,terpinolene,"""phytol terpene""",fenchol,borneol,terpineol,α-bisabolol,ocimene,limonene,"1, 8, Cineole",bornyl acetate,p-cymene,perillyl alcohol,Sabinene,alpha-terpinene,gamma-terpinene,R-carvone,S-carvone
,,215,15,11,8,13,5,9,8,17,6,13,3,14,6,7,6,13,10,5,9,6,6,8,8,5,4
,154,,4441,2179,901,4171,923,750,974,5006,522,21313,81,1603,1656,482,#N/A,6597,3411,376,2449,446,906,1487,1270,186,121
anti-inflammatory,6,66898,341,118,94,1199,88,45,102,247,19,750,3,142,147,79,39,336,400,28,98,31,60,113,68,5,3
absorption,7,432045,96,29,9,55,12,11,20,57,10,396,1,126,47,15,13,260,49,4,64,7,5,22,14,5,3
alcohol craving reduction,0,67,0,0,0,#N/A,0,0,0,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alertness,3,9070,2,1,0,0,0,0,0,3,1,12,0,1,0,0,0,3,1,1,0,0,2,0,0,0,0
analgesic,2,60988,49,31,22,72,24,20,47,55,26,20,2,45,21,13,4,64,31,6,67,7,12,57,50,7,2
anorectic,0,3621,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anti-anxiety,8,21259,14,4,0,15,2,3,4,35,2,4,0,3,3,2,2,22,10,1,5,0,0,1,1,1,1
anti-bacterial,4,471925,308,149,58,178,98,34,60,256,30,375,5,123,109,31,42,313,289,38,186,9,76,27,118,5,1
anti-coagulant,1,1564,1,2,0,0,0,0,0,0,0,22,0,1,0,0,#N/A,1,1,0,0,0,1,0,0,0,0
anti-convulsant,0,69,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,#N/A,0,0
anti-depressant,3,155,1,2,1,5,2,1,1,4,0,1,0,2,0,1,1,2,1,2,1,0,1,1,0,0,0
anti-epileptic,9,13930,20,5,8,33,5,8,3,39,2,2,0,0,0,0,1,0,0,0,12,2,0,0,0,2,0
anti-fungal,1,274,5,3,1,2,0,0,0,8,1,0,0,0,4,0,1,7,6,0,4,0,2,2,5,1,0
anti-microbial,1,524,4,#N/A,1,5,3,4,1,12,2,5,0,2,3,1,3,7,11,1,7,0,1,1,6,0,0
anti-mutagenic,1,467,0,0,0,0,0,#N/A,0,2,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
anti-nociceptive,3,171,4,1,1,9,1,0,1,9,1,0,0,2,0,3,0,6,2,1,0,0,0,0,0,0,0
anti-oxidant,7,14863,11,214,0,12,4,2,4,440,0,1963,0,188,1,64,77,627,8,2,13,5,2,220,4,5,4
anti-parastitic,5,0,0,0,901,0,0,750,0,5006,0,0,81,0,0,613,0,0,3411,376,0,0,0,1487,1270,0,0
anti-proliferative,6,17040,18,8,3,27,6,2,3,12,1,6,0,3,7,5,3,15,16,0,15,4,2,4,4,2,0
anti-psychotic,1,91,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
anti-septic,0,140,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
anti-spasmodic,1,16,0,0,0,2,1,0,1,1,0,0,0,1,0,2,0,2,1,0,0,0,0,0,0,0,0
anti-toxin,0,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anti-tumor,8,66098,13,9,7,15,5,2,3,5,1,17,0,7,6,4,2,12,3,3,11,9,3,3,3,0,0
anti-viral,1,601,3,0,0,1,0,0,1,2,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0
brain ischemia,5,70439,3,0,0,23,0,3,3,6,0,66,0,63,0,1,0,1,2,0,0,0,0,0,1,0,0
bronchodialator,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cardiovascular health,5,25055,1,0,0,16,0,2,0,1,2,41,0,8,0,1,1,28,1,0,0,3,0,0,1,0,0
decongestant,5,1042,0,1,0,0,0,2,0,3,0,3,0,2,0,2,0,0,1,0,2,0,0,0,0,0,0
gastric protection,10,2899,19,10,0,17,0,2,3,13,2,21,0,0,8,4,1,1,21,0,0,0,0,0,0,0,0
